Club,Club_Position
Giron. Bordeaux,RB
Deport. Alavés,ST
U.N.A.M.,RCB
Independiente,RM
Necaxa,LW
Monarcas Morelia,Sub
América,RS
Santos Laguna,RCB
Boca Juniors,Sub
León,Sub
Boca Juniors,LB
FC Basel,LCB
SC Braga,LM
Genoa,LM
Valencia CF,Sub
1. FSV Mainz 05,RM
Hertha BSC,RDM
U.N.A.M.,ST
Inter,Sub
RCD Espanyol,Sub
LOSC Lille,RM
Valencia CF,Sub
RSC Anderlecht,RCM
Valencia CF,Sub
FC Porto,Sub
VfL Wolfsburg,LB
Boavista,RW
FC Augsburg,RDM
Hull City,RM
SC Freiburg,LM
AS Saint-Étienne,ST
Ind. Santa Fe,CAM
Milan,Sub
Sunderland,Sub
Newcastle Utd,Sub
SC Braga,RCB
Club Brugge,RCB
SD Eibar,Sub
Roma,LM
Eint. Frankfurt,Sub
Bor. M'gladbach,Sub
