Club,Club_Position
FC Nordsjælland,CM
Amkar Perm,RCB
SM Caen,Res
Blackburn Rovers,Sub
Nîmes Olympique,LS
Rafaela,LB
FC Lorient,Sub
Al Nassr,Sub
FC Sion,Sub
RC Strasbourg,RS
Panathinaikos,Sub
FC Porto,Sub
Real Valladolid,Sub
SV Sandhausen,RDM
Kaiserslautern,RDM
Huddersfield,RCB
La Spezia,LCM
Kaizer Chiefs,Sub
Gaziantepspor,LB
Marítimo,Sub
FC Sochaux,LCM
León,Sub
Vercelli,Sub
AZ,Sub
Leeds United,RM
Southampton,Res
Tondela,Sub
Pogoń Szczecin,ST
Nîmes Olympique,RM
Pogoń Szczecin,LDM
PEC Zwolle,LCM
Preston,GK
Panathinaikos,Sub
Willem II,LM
FC Nantes,RM
FC Metz,Sub
Al Nassr,Sub
Al Hilal,Sub
Al Nassr,RDM
Stade Brestois,Sub
Montreal Impact,LM
F. Düsseldorf,RB
Eint. Frankfurt,RM
Charlton Ath,RS
Elche CF,Sub
Zagłębie Lubin,CAM
Wisła Płock,RDM
Bristol City,Sub
Cardiff City,Sub
Union Berlin,LCB
SK Sturm Graz,RCB
Belenenses,RS
Hellas Verona,RW
FC Groningen,LCB
Barnsley,RB
Huddersfield,GK
OGC Nice,Res
Piast Gliwice,Sub
FC Ingolstadt,LM
Al Fateh,ST
Real Salt Lake,Res
CD Lugo,Sub
Stade Rennais,Sub
GFC Ajaccio,RDM
F. Santa Maria,ST
BK Häcken,ST
FC Twente,LCB
Real Salt Lake,Sub
1. FC Nürnberg,ST
Brentford,Sub
Audax Italiano,Sub
Brighton,Sub
Esbjerg fB,Sub
Lech Poznań,GK
ADO Den Haag,Sub
Leeds United,Sub
Newcastle Utd,Sub
Lazio,Sub
Norwich,RM
Sint-Truiden,LS
Southampton,Res
RSC Anderlecht,Sub
HJK Helsinki,RB
SC Freiburg,Sub
Lanús,GK
Pescara,CM
Pisa,LB
Vicenza,Sub
CD O'Higgins,LW
Free Agents,Res
KRC Genk,Sub
SV Darmstadt,Sub
Wolves,RCM
1. FC Nürnberg,LCB
Heracles Almelo,Sub
Celta Vigo,Sub
Vicenza,CAM
Kaiserslautern,Sub
N.E.C.,LCB
Hellas Verona,Res
Belenenses,GK
CD Leganés,Res
Deport. Alavés,Sub
1. FC Nürnberg,CDM
Monterrey,Sub
Celtic,Sub
Śląsk Wrocław,Sub
SK Rapid Wien,LCM
AZ,Sub
Brisigonza,LCB
VfL Bochum,Res
Cardiff City,LCM
UD Almería,Sub
Benevento,LCB
Norwich,Sub
Banfield,GK
Aalesunds FK,RM
Derby County,Res
Royal Mouscron,LCB
Palermo,Sub
Willem II,Sub
Girona CF,Sub
Crotone,RW
Clermont Foot,RCM
SC Heerenveen,Sub
Excelsior,RCB
Indep. Medellín,LS
SK Rapid Wien,RCB
Karlsruher SC,Sub
Dynamo Dresden,Sub
FC Lorient,Sub
Salerno,Sub
Avellino,Sub
Brighton,LM
Hannover 96,RCB
Blackburn Rovers,LB
Braunschweig,LCB
Indep. Medellín,Sub
FC Augsburg,Sub
Amiens SC,LDM
Rangers,Sub
1. FC Heidenheim,GK
Stade Brestois,LCM
Arsenal,Res
Querétaro,Sub
FC Ufa,Sub
Perth Glory,LS
Lokomotiv Moscow,Sub
V. Setúbal,Sub
Rio Ave,Res
Chaves,Sub
Newell's,LDM
Columbus Crew SC,LCB
Jeonbuk Hyundai,RW
Dynamo Dresden,Sub
Rosenborg BK,Sub
Athletic Bilbao,Sub
Preston,RCM
Hammarby IF,RDM
Moreirense,RB
Vicenza,LB
Zulte-Waregem,Sub
Karlsruher SC,Sub
Greuther Fürth,LCM
Derby County,RB
VfL Bochum,Sub
FC Twente,GK
UD Almería,Sub
CF Reus Deportiu,Sub
Legia Warszawa,Sub
Lech Poznań,RM
N.E.C.,LCM
Blackburn Rovers,RCM
Zulte-Waregem,Sub
Deportes Tolima,RM
FC Ingolstadt,Sub
Anzhi Makhachkala,Sub
Rio Ave,Sub
Montpellier HSC,Res
Ipswich,LWB
Querétaro,Sub
Charlton Ath,LCB
Chiapas,Sub
Aytemiz Alanyaspor,Sub
SD Huesca,LB
Angers SCO,Sub
Djurgårdens IF,Res
QPR,Res
Gimnàstic,CM
Odense BK,LB
Odds BK,CM
Pogoń Szczecin,Sub
Tijuana,LDM
SD Huesca,Res
Brentford,Sub
Cardiff City,ST
Chiapas,RM
Kasimpaşa,Sub
Free Agents,Res
UCAM Murcia,ST
Leyton Orient,Sub
Esbjerg fB,RS
Kaiserslautern,ST
Fl. Varela,RCM
FC Nantes,Sub
Sheffield Wed,Sub
Elche CF,LCB
CSKA Moscow,Sub
Toronto FC,RM
Sarandí,RB
FC Utrecht,Sub
Willem II,RCB
Preston,Sub
Wigan Athletic,RCM
UCAM Murcia,Sub
Columbus Crew SC,Sub
CF Reus Deportiu,LB
CD Lugo,LCB
Arsenal,Res
Bristol City,LDM
Free Agents,Res
Atlético Bucaramanga,RDM
FC Metz,LDM
AD Alcorcón,Sub
Le Havre AC,GK
Royal Mouscron,GK
Gençlerbirliği,CAM
Wisła Kraków,Sub
AD Alcorcón,RDM
Chaves,Sub
Belenenses,LB
Aalborg BK,LB
Odense BK,RCM
Charlton Ath,RM
Wigan Athletic,RW
Frosinone,Sub
VfL Bochum,ST
Lokomotiv Moscow,ST
Millwall,Sub
Newell's,Sub
Arouca,LDM
Nacional,Sub
Karabükspor,Sub
Frosinone,Sub
Greuther Fürth,Sub
SK Rapid Wien,Sub
RC Strasbourg,Sub
Akhisarspor,GK
AC Ajaccio,LM
1860 München,Sub
Toluca,Sub
Elche CF,Sub
AC Ajaccio,RCB
Kaiserslautern,Sub
Karlsruher SC,LCB
CD Numancia,LM
Kaiserslautern,RCB
BK Häcken,CDM
Charlton Ath,LS
VfL Bochum,LDM
Atlético Tucumán,LCB
Watford,Res
Jeju United,LS
Braunschweig,Sub
León,Sub
Panathinaikos,Sub
Arminia Bielefeld,Sub
CD Numancia,RB
Kayserispor,Sub
Brentford,RCB
Houston Dynamo,RB
Aalborg BK,RCB
Panathinaikos,RB
Querétaro,LCB
Sounders FC,GK
Elche CF,Sub
Strømsgodset IF,RW
Cardiff City,LB
Burton Albion,RB
New England,LB
Aytemiz Alanyaspor,RB
Cracovia,RM
Adanaspor,RDM
Barnsley,RM
Fleetwood Town,Sub
Medipol Başakşehir,LB
Charlton Ath,Sub
Union Berlin,Sub
Leeds United,Sub
Cittadella,LS
Jagiellonia,Sub
Sheffield Utd,LCM
IFK Göteborg,RCM
Rosenborg BK,LB
Rotherham Utd,Sub
Toluca,RB
Stade Brestois,Sub
Spal,RCM
Philadelphia,LB
Cittadella,CM
AS Nancy,ST
Karabükspor,RM
UD Almería,Sub
Jeonbuk Hyundai,Res
Novara,Sub
Würzburger Kickers,LB
Lechia Gdańsk,Sub
FC Tom Tomsk,CAM
Arsenal Tula,RM
Jeonbuk Hyundai,LCM
Sheffield Wed,Res
Ipswich,Sub
Suwon FC,LCM
Giron. Bordeaux,Sub
FC Nantes,Sub
Frosinone,Sub
León,GK
Atlético Tucumán,Sub
Arminia Bielefeld,LM
D.C. United,RCB
Blackburn Rovers,LM
Girona CF,GK
Huddersfield,Res
Rosenborg BK,Res
Barnsley,RCM
Chesterfield,Sub
1. FC Nürnberg,Sub
Real Salt Lake,LB
Roda JC,Sub
CD Numancia,Sub
Arsenal Tula,Sub
Necaxa,Sub
Le Havre AC,RDM
Pohang Steelers,LCB
Go Ahead Eagles,RCB
Bari,LCB
BSC Young Boys,LB
FC Luzern,RM
IFK Göteborg,Sub
Krylya Sovetov,Sub
SM Caen,Sub
Excelsior,LDM
Stade Brestois,RCM
Real Zaragoza,Sub
AS Nancy,Sub
Rangers,RW
1. FC Heidenheim,LB
Sydney FC,RCB
Bolton,Sub
Perth Glory,Res
Greuther Fürth,LWB
Odense BK,GK
Seongnam FC,Sub
Odds BK,RW
Amkar Perm,LCB
Banfield,CAM
WS Wanderers,CAM
Boavista,Sub
Akhisarspor,Sub
Millwall,LCM
FC Sochaux,CDM
FC Tokyo,Sub
Sydney FC,GK
Sheffield Wed,Sub
Al Fateh,Sub
FC Metz,Sub
CD Lugo,RM
Colorado Rapids,LCB
KAS Eupen,RM
Sounders FC,Sub
Querétaro,Sub
Aarhus GF,LB
IFK Göteborg,LM
Wisła Płock,Res
FC Ural,Sub
Medipol Başakşehir,Res
Borgocalcio,RCM
FC Midtjylland,Sub
Audax Italiano,Sub
Atlético Huila,CAM
Sporting Gijón,LB
Hearts,CAM
Crawley Town,LM
Bursaspor,LDM
Salerno,Sub
Paços Ferreira,Sub
León,LCB
Vålerenga Fotball,LCM
Frosinone,CAM
Tigres,Sub
Well. Phoenix,LCB
Houston Dynamo,Sub
San Juan,Res
SC Freiburg,Res
Philadelphia,Sub
GFC Ajaccio,LDM
Kalmar FF,LCB
Hearts,Sub
CD O'Higgins,RM
CD O'Higgins,GK
Blackburn Rovers,LS
Deportivo Pasto,CAM
Águilas Doradas,Sub
Jeonbuk Hyundai,CB
FC Seoul,CDM
Korona Kielce,ST
Free Agents,Res
KV Oostende,Sub
Moreirense,RDM
KV Kortrijk,RM
IF Elfsborg,RCB
Cham. Niortais,LCB
Atlético Bucaramanga,Sub
Wisła Kraków,LM
FC Ural,RDM
Real Salt Lake,Res
CF Reus Deportiu,LCB
1. FC Nürnberg,Res
Juventus,Res
Terni,Sub
Sp. Charleroi,Sub
Le Havre AC,LM
Bournemouth,Res
Bristol Rovers,LCM
MK Dons,Sub
Lech Poznań,Sub
Lyngby BK,LB
KV Oostende,Sub
Valenciennes FC,LCB
Gaziantepspor,Sub
Veracruz,Sub
F. Santa Maria,Sub
Uni. Católica,Sub
CA Osasuna,Res
Veracruz,RCB
Tijuana,Sub
Veracruz,RB
Córdoba CF,CAM
Real Oviedo,LB
Sport. Lokeren,CAM
FC Midtjylland,GK
Córdoba CF,LB
Rochdale,Sub
Kilmarnock,Sub
1860 München,Sub
Latina,CB
Sheffield Wed,Res
Bolton,Sub
Millwall,RB
SJ Earthquakes,LM
Pogoń Szczecin,LCB
Perth Glory,LCM
Wigan Athletic,Sub
Free Agents,Res
1860 München,Sub
Veracruz,CAM
Al Raed,ST
Moreirense,Sub
Al Hilal,Sub
Al Hilal,Sub
D.C. United,Sub
Newcastle Utd,Res
Amkar Perm,Sub
F. Düsseldorf,LM
SV Darmstadt,Sub
Chiapas,Res
F. Düsseldorf,Sub
Bolton,CB
Brøndby IF,Sub
San Lorenzo,Sub
Aston Villa,Sub
CF Reus Deportiu,Sub
Wigan Athletic,RCB
Bolton,RS
Charlton Ath,RCM
KV Mechelen,RM
Blackburn Rovers,RS
Roda JC,LDM
Sheffield Utd,LS
QPR,Sub
Ross County,CB
Arouca,Sub
SK Brann,GK
Trapani,LCB
Stade Brestois,GK
Ind. Santa Fe,Sub
Sampdoria,Sub
Santa Fe,Sub
Santa Fe,LDM
1860 München,Sub
QPR,Sub
Tigres,Sub
Girona CF,Sub
Atlético Tucumán,GK
Yokohama F. Marinos,RCB
Tijuana,RCB
Monarcas Morelia,Sub
FC St. Gallen,CB
Aberdeen,GK
Monarcas Morelia,Sub
Novara,Sub
Sint-Truiden,RCM
Śląsk Wrocław,RCB
Wolves,LCB
FC Orenburg,RCB
Free Agents,Res
Vélez Sarsfield,RCB
Charlton Ath,LCM
Rosenborg BK,LCB
Odds BK,ST
SCR Altach,CB
SønderjyskE,LB
SønderjyskE,LM
Aarhus GF,Res
BK Häcken,LB
Colorado Rapids,CAM
Frosinone,RCM
FC Rostov,Sub
Arsenal Tula,Sub
FC Ural,Sub
FC Ural,LB
Rubin Kazan,Res
CF Reus Deportiu,Sub
CD Lugo,GK
UD Almería,Sub
Antalyaspor,Sub
Kasimpaşa,Res
Newell's,RCB
G. La Plata,Sub
Santa Fe,Sub
Real Zaragoza,Sub
Parque Patricios,LCM
Rafaela,Res
EA Guingamp,Res
Sanfrecce Hiroshima,RM
Kashima Antlers,RDM
Houston Dynamo,Sub
Toluca,Sub
Monterrey,Sub
Sheffield Wed,LCB
Montpellier HSC,Sub
Blackburn Rovers,RM
FC Basel,Sub
La Equidad,RCM
Santa Fe,LB
Terni,Res
AZ,Sub
Chicago Fire,RM
Preston,Sub
Sport. Lokeren,Sub
Kayserispor,Sub
KVC Westerlo,LM
Antalyaspor,Sub
Wolves,Sub
Brisbane Roar,Sub
Valenciennes FC,GK
Valenciennes FC,CAM
Würzburger Kickers,GK
Elche CF,LB
FC Sion,CDM
Vålerenga Fotball,RCM
QPR,Sub
Stoke City,GK
Blackburn Rovers,Sub
SL Benfica,Res
Southend United,LCB
SK Rapid Wien,Sub
SV Sandhausen,LDM
SD Huesca,Sub
UD Almería,Sub
Sport. Lokeren,RCB
West Brom,LB
Stade Brestois,CDM
Montpellier HSC,Sub
Vicenza,Sub
Brøndby IF,Sub
Brescia,LS
Erzgebirge Aue,RDM
Inverness CT,Sub
Port Vale,RM
Wisła Kraków,RCB
V. Setúbal,Sub
Blackburn Rovers,Sub
Wigan Athletic,Res
Nott'm Forest,LDM
Red Star FC,Sub
KAS Eupen,LCM
Lech Poznań,LB
Rosario Central,RCB
Roda JC,Sub
New England,RCB
Stade Lavallois,LWB
Santa Cruz,Sub
Joinville,RAM
Figueirense,Sub
Botafogo,Sub
Goiás,Sub
Free Agents,Res
SK Rapid Wien,ST
Parque Patricios,RW
Chaves,Res
FC Groningen,Sub
Real Madrid,Res
KVC Westerlo,ST
Estoril Praia,LB
Nacional,Sub
Spal,Sub
KAS Eupen,RCM
Godoy Cruz,Sub
Sevilla Atlét.,LDM
CF Reus Deportiu,Res
Kaizer Chiefs,Sub
SL Benfica,Res
FC Orenburg,LB
F. Santa Maria,Sub
Dynamo Dresden,RCB
Erzgebirge Aue,LCB
KAS Eupen,LB
Atlético Mineiro,LAM
Goiás,Sub
Internacional,Sub
Sport,LDM
Vasco da Gama,Sub
Goiás,RB
Leeds United,LDM
Sp. Charleroi,Sub
Toulouse FC,Sub
Santa Fe,RS
Incheon United,RM
Sevilla Atlét.,Sub
Real Betis,Sub
Real Sociedad,Sub
1860 München,Sub
Urawa Diamonds,Sub
Sparta R'dam,GK
Sparta R'dam,RB
Vissel Kobe,RCB
Kashima Antlers,RM
FC Tokyo,CAM
FC Tokyo,Sub
Sagan Tosu,LS
Kashiwa Reysol,RCB
Kashiwa Reysol,GK
Godoy Cruz,Sub
Godoy Cruz,Sub
Sanfrecce Hiroshima,GK
Urawa Diamonds,Sub
Vegalta Sendai,LCM
Urawa Diamonds,Sub
Urawa Diamonds,RF
Boyacá Chicó,LM
Al Qadisiyah,LM
UD Almería,Sub
CD Antofagasta,Sub
Ind. Santa Fe,Sub
Depor. Iquique,LW
FC Tokyo,LB
Heracles Almelo,LCB
Konyaspor,Sub
Deportivo Pasto,Sub
Real Valladolid,LS
Manchester Utd,Res
Villarreal CF,Res
Lechia Gdańsk,LCB
Liverpool,Sub
AD Alcorcón,Sub
Eint. Frankfurt,Res
River Plate,Sub
SL Benfica,Res
Estoril Praia,CAM
Marítimo,Sub
Vitória,Sub
Botafogo,LS
Vitória,LS
Cruzeiro,Sub
Criciúma,LAM
Avaí,CAM
Vasco da Gama,RDM
Sport,RB
Figueirense,Sub
Ind. Santa Fe,LM
Figueirense,Sub
Coritiba,LS
Atlético Mineiro,RS
Cruzeiro,LDM
Atl. Paranaense,Sub
Coritiba,Sub
Atl. Paranaense,Sub
A. Minas G.,Sub
1. FSV Mainz 05,Sub
Gimnàstic,Res
Girona CF,Sub
SD Huesca,Sub
KRC Genk,Sub
Paços Ferreira,Sub
FC Orenburg,Sub
Córdoba CF,Sub
Paços Ferreira,Sub
CF Reus Deportiu,CAM
Omiya Ardija,RM
CD Mirandés,CAM
Tondela,Sub
Grasshopper,Sub
Bourg-Péronnas,CAM
Erzgebirge Aue,ST
Aytemiz Alanyaspor,Res
Al Qadisiyah,ST
Tondela,Sub
CA Osasuna,Res
AS Nancy,Sub
Bristol City,Sub
CD Tenerife,Sub
Arsenal,Sub
Free Agents,Res
Free Agents,Res
Free Agents,Res
Terek Grozny,Sub
Bor. Dortmund,Sub
Vitesse,Sub
Austria Wien,RM
Ulsan Hyundai,LCB
Djurgårdens IF,RCM
Lechia Gdańsk,Sub
Ajax,Sub
Atlético Tucumán,Sub
River Plate,GK
Al-Ettifaq,LCB
Sounders FC,LDM
Rosario Central,Sub
Al. Petrolera,Res
Mar del Plata,LCB
FC Twente,RB
Temperley,Sub
Melbourne City,Sub
Montpellier HSC,RB
CA Osasuna,Res
Legia Warszawa,Res
Trapani,LS
FC Ufa,CM
Deportivo Cali,Sub
CD Antofagasta,LCB
RB Salzburg,RDM
Konyaspor,RDM
Uni. Católica,Sub
Greuther Fürth,RWB
SC Heerenveen,RCM
Zulte-Waregem,Sub
CD Tenerife,Sub
Cracovia,RDM
Real Zaragoza,Sub
Real Valladolid,Sub
Tondela,RW
Sarandí,RCB
Sport. Lokeren,Sub
Banfield,LCB
Atlético Tucumán,LCM
Moreirense,Sub
Rosario Central,Sub
Barnsley,LM
Kaizer Chiefs,LAM
Tours FC,LDM
Kaiserslautern,GK
Colo-Colo,RS
Patronato,Sub
Frosinone,Sub
Rosenborg BK,Sub
FC Sion,RCB
FC Twente,RCB
FC Utrecht,Sub
Cádiz C.F.,Sub
Leeds United,Sub
Arka Gdynia,CAM
Giron. Bordeaux,Res
Korona Kielce,CAM
Puebla,Res
SK Rapid Wien,Res
Birmingham City,Sub
Monarcas Morelia,RM
AJ Auxerre,RB
River Plate,Res
FC Ufa,RWB
FC Barcelona,Res
Cham. Niortais,LCM
Fl. Varela,GK
Godoy Cruz,LB
Banfield,RB
Austria Wien,Sub
Çaykur Rizespor,RB
FC Luzern,RCM
Trabzonspor,Sub
Konyaspor,Sub
Akhisarspor,RCB
Stade Brestois,LB
Gençlerbirliği,LB
Konyaspor,Sub
Walsall,CAM
Red Star FC,LB
FC Porto,Res
Al Faisaly,Sub
Stade de Reims,Sub
Empoli,Sub
PAOK,Sub
Arouca,Sub
Sevilla Atlét.,LM
Águilas Doradas,RM
Salerno,RCM
Lokomotiv Moscow,Res
Cittadella,LCM
Moreirense,Sub
Bahía Blanca,RCB
La Spezia,RCB
Pohang Steelers,LCM
Barnsley,LS
F. Düsseldorf,LCM
NYCFC,Sub
FC Dallas,Sub
ADO Den Haag,LCB
D.C. United,ST
Bournemouth,Sub
Ventforet Kofu,RS
PEC Zwolle,Res
FC Porto,Res
Girona CF,Sub
Nott'm Forest,Res
Lech Poznań,Sub
Columbus Crew SC,Sub
KV Mechelen,Sub
Karabükspor,Sub
Arminia Bielefeld,Sub
Preston,LS
Norwich,Res
GFC Ajaccio,Sub
Lech Poznań,RCB
Rafaela,LCB
CA Osasuna,Res
Real Zaragoza,RB
Barnsley,Sub
AS Nancy,RCB
Antalyaspor,RCB
Terni,LW
Bari,Sub
N.E.C.,Sub
Deportes Tolima,Sub
Jaguares,Sub
Córdoba CF,Sub
FC Utrecht,Sub
CD Tenerife,Sub
Veracruz,Sub
RC Lens,LS
Rafaela,Sub
Brescia,Sub
Sogndal,RM
Necaxa,Sub
Crotone,Sub
La Spezia,RB
Rosenborg BK,Sub
Necaxa,RB
G. La Plata,LM
CD Everton,ST
Patriotas,LW
Wigan Athletic,Res
Deportivo Pasto,RB
Aarhus GF,LCB
Southampton,Sub
FC Twente,Sub
Millonarios,Sub
Patriotas,RW
Tijuana,GK
Kaiserslautern,Res
Tijuana,Sub
Unión,LCB
Panathinaikos,Sub
ADO Den Haag,Sub
Junior,LAM
FC Groningen,Sub
Temperley,ST
San Luis,LAM
Free Agents,Res
Huddersfield,Sub
Gaziantepspor,LDM
Real Oviedo,Sub
FC St. Gallen,Sub
Sint-Truiden,LCM
Amkar Perm,RWB
Dynamo Dresden,LCB
Uni. Concepción,Res
CA Talleres,LCM
Deportes Temuco,RCB
Go Ahead Eagles,LCB
Odense BK,LS
SC Heerenveen,LB
CD Mirandés,RM
Cracovia,RB
CD Tenerife,LDM
Bristol City,Res
Krylya Sovetov,Sub
AD Alcorcón,LM
Waasl. Beveren,RDM
Patronato,RS
San Juan,LCM
Mar del Plata,RCB
Newell's,Sub
Tigre,Sub
Tigre,RCB
Depor. Iquique,GK
Santa Fe,LCB
San Juan,RCB
Toulouse FC,Res
Ind. Santa Fe,Sub
Legia Warszawa,Sub
CD Everton,Sub
Lanús,RCB
Uni. Católica,Sub
Pachuca,Sub
CD Antofagasta,Sub
Unión Española,GK
Unión Española,RCB
CA Talleres,Sub
Atlético Bucaramanga,LM
Atl. Nacional,Sub
Junior,RB
CD Palestino,RAM
CD Huachipato,Sub
CD Antofagasta,RB
Real Valladolid,Sub
Ind. Santa Fe,RCB
Deportivo Pasto,Sub
Junior,Sub
Indep. Medellín,Sub
Ind. Santa Fe,RM
Once Caldas,Res
RC Lens,LCM
1. FC Heidenheim,RS
Jaguares,Sub
Atlético Bucaramanga,Sub
Deportivo Cali,Res
Genoa,Res
Barnsley,Sub
Chicago Fire,LCB
Belenenses,Sub
Preston,LCM
Chelsea,Sub
Torino,Sub
UD Almería,RM
IFK Norrköping,Sub
Toronto FC,LCM
Toronto FC,GK
Angers SCO,Sub
Lokomotiv Moscow,Sub
FC Orenburg,Res
Belenenses,LCB
Grasshopper,LM
Al Ittihad,Sub
Union Berlin,Sub
SV Darmstadt,Sub
Sagan Tosu,Sub
Unión,LB
Colorado Rapids,Sub
D.C. United,LB
Malmö FF,Sub
Stade Rennais,Sub
Puebla,LCB
Free Agents,Res
Melb. Victory,RB
Crystal Palace,Res
ADO Den Haag,LCM
Tondela,RDM
Monarcas Morelia,Sub
Estoril Praia,LCM
Tondela,Sub
1. FSV Mainz 05,Res
SV Darmstadt,GK
Kaiserslautern,Sub
Lazio,Sub
Córdoba CF,LCB
Dijon FCO,Sub
Panathinaikos,GK
Dynamo Dresden,LB
V. Guimarães,Sub
Arminia Bielefeld,LDM
RB Salzburg,Sub
Al Qadisiyah,Sub
Reading,Sub
Real Valladolid,Sub
Burton Albion,LCM
Gimnàstic,Sub
Free Agents,Res
FC Rostov,Sub
Bahía Blanca,Sub
Sarandí,LB
Real Madrid,Res
Nott'm Forest,LB
Terni,RCB
Gillingham,CAM
Pisa,RCB
CD Numancia,Sub
Free Agents,Res
Hellas Verona,Sub
Hellas Verona,CM
Silkeborg IF,RCM
Carpi,Sub
KAA Gent,Sub
Necaxa,LCM
Kalmar FF,Res
Hearts,Sub
Zenit,Res
Sarpsborg 08 FF,LM
FC Midtjylland,Sub
Nacional,LW
Red Star FC,RS
Belenenses,Sub
SC Bastia,Sub
Panathinaikos,Res
Leeds United,Sub
Sarandí,CAM
KV Oostende,LCB
FC St. Pauli,LB
Al Hilal,GK
Bolton,LCM
Austria Wien,Sub
N.E.C.,LWB
SK Rapid Wien,Sub
1860 München,Sub
West Brom,Sub
Waasl. Beveren,RCB
Veracruz,Res
UCAM Murcia,Sub
Terni,Sub
Sassuolo,Sub
Al Fateh,RM
Al Ittihad,RCB
Moreirense,Res
PEC Zwolle,LM
Śląsk Wrocław,Sub
Marítimo,Sub
KVC Westerlo,GK
Real Zaragoza,Sub
Al Wehda,ST
1. FC Heidenheim,Sub
Al Raed,GK
Stade Brestois,Sub
Greuther Fürth,RCM
Brøndby IF,RCB
NYCFC,Sub
Elche CF,CAM
U.N.A.M.,RB
Eint. Frankfurt,Res
KV Mechelen,LDM
Djurgårdens IF,RM
Sparta R'dam,RCM
RB Leipzig,Sub
Portland,Res
Arsenal Tula,LCB
Wisła Kraków,Sub
Kayserispor,Sub
BSC Young Boys,RS
Kaiserslautern,Sub
Ulsan Hyundai,Sub
Le Havre AC,Sub
Nott'm Forest,Sub
Estoril Praia,Res
Cádiz C.F.,Sub
Lechia Gdańsk,Res
Würzburger Kickers,ST
Atlético Tucumán,Res
Kasimpaşa,LDM
Getafe CF,Sub
Atlético Huila,RCB
Indep. Medellín,LCB
Philadelphia,Res
IFK Norrköping,RS
Pohang Steelers,LW
SK Brann,LB
Atlas,Res
Girona CF,Sub
New England,Sub
Montreal Impact,GK
Rayo Vallecano,Sub
ES Troyes AC,LDM
FC Krasnodar,RW
FC St. Pauli,RB
Zulte-Waregem,LCB
Amkar Perm,RS
FC St. Gallen,ST
CD Lugo,Sub
FC Rostov,Sub
Stade Rennais,Sub
Bari,RB
Gençlerbirliği,ST
Greuther Fürth,RS
Aston Villa,GK
Pescara,Sub
Cádiz C.F.,Sub
FC Orenburg,LM
V. Guimarães,Sub
Antalyaspor,Sub
Free Agents,Res
Pogoń Szczecin,RM
Moreirense,Sub
UCAM Murcia,Sub
Kaizer Chiefs,Sub
Hellas Verona,GK
Würzburger Kickers,RCB
Fulham,RB
Al Ittihad,ST
Gençlerbirliği,Sub
Hannover 96,CAM
Sporting KC,Sub
CD Mirandés,Sub
FC Midtjylland,Sub
ADO Den Haag,RCB
1. FC Nürnberg,Sub
Swindon Town,LCM
ADO Den Haag,Res
Willem II,Sub
KV Kortrijk,Sub
Arsenal Tula,Sub
Karabükspor,Sub
Gimnàstic,Sub
Crotone,Sub
Real Zaragoza,Sub
Indep. Medellín,Sub
UCAM Murcia,LB
Torino,Sub
PEC Zwolle,LCB
Oxford United,RM
Reading,LB
Jagiellonia,LCB
Wigan Athletic,Sub
Bolton,CM
Suwon Bluewings,Res
Portland,GK
Brentford,LDM
Sporting KC,Sub
Gaziantepspor,Sub
Anzhi Makhachkala,RM
Lyngby BK,RM
Preston,Res
SJ Earthquakes,GK
FC Groningen,Sub
UD Almería,Sub
Sangju Sangmu,LM
Philadelphia,ST
SC Heerenveen,Sub
Houston Dynamo,Sub
QPR,Sub
Panathinaikos,Sub
Sounders FC,Sub
FC St. Pauli,Sub
Waasl. Beveren,LB
Reading,Sub
Benevento,RCB
New England,LCM
Greuther Fürth,Sub
Kaizer Chiefs,Res
Orlando City,GK
Sport. Lokeren,RDM
Go Ahead Eagles,RW
Randers FC,LCB
Angers SCO,Sub
RCD Mallorca,RB
Amiens SC,Sub
Brisigonza,GK
FC Basel,Sub
Silkeborg IF,LS
West Ham,Res
Real Valladolid,LCB
AJ Auxerre,GK
Lechia Gdańsk,RCB
Elche CF,Sub
La Spezia,Sub
Arminia Bielefeld,RM
Hamilton,Sub
Pescara,Sub
Valenciennes FC,RB
Oxford United,RCM
Wigan Athletic,Sub
Portland,Sub
Sporting KC,GK
PEC Zwolle,Sub
FC Metz,RB
Incheon United,RCB
1860 München,GK
Stade Brestois,RCB
Bristol City,Sub
Córdoba CF,Sub
F. Düsseldorf,Sub
Pogoń Szczecin,CAM
Huddersfield,Sub
UD Almería,LDM
Racing Club,Res
Leyton Orient,RCB
Waasl. Beveren,Sub
CD Mirandés,LM
Kasimpaşa,Sub
Houston Dynamo,ST
Sporting KC,CM
Terni,RB
GFC Ajaccio,Sub
RC Lens,LCB
ES Troyes AC,Sub
GFC Ajaccio,LM
SV Darmstadt,Res
RCD Mallorca,Sub
Al Khaleej,RS
KV Mechelen,RB
KRC Genk,Sub
Clermont Foot,Res
Elche CF,Sub
Fulham,Sub
Puebla,LS
Real Valladolid,Sub
Pisa,Sub
Estudiantes,Sub
Valenciennes FC,LM
Hammarby IF,Sub
Barnsley,RS
RC Lens,Sub
Melbourne City,RB
SD Huesca,RDM
Rotherham Utd,RM
Dynamo Dresden,Sub
Celtic,RCB
Free Agents,Res
Çaykur Rizespor,Sub
Erzgebirge Aue,Sub
QPR,LWB
Free Agents,Res
1. FC Heidenheim,LDM
CD Palestino,LB
Rangers,RB
Boavista,Sub
Aytemiz Alanyaspor,Sub
Rayo Vallecano,Sub
ES Troyes AC,Sub
West Brom,Sub
FC Ufa,RCB
ES Troyes AC,Sub
Frosinone,LM
Krylya Sovetov,RM
